PICKUP_LOCATION_ID,PICKUP_BOROUGH,PICKUP_ZONE,PICKUP_SERVICE_ZONE,TRIPS_COUNT,TOTAL_REVENUE,AVG_TOTAL_AMOUNT,AVG_FARE_AMOUNT,AVG_TIP_AMOUNT,AVG_TRIP_DISTANCE,AVG_TRIP_DURATION_MINUTES,FIRST_PICKUP_DATETIME,LAST_PICKUP_DATETIME,DEMAND_RANK,REVENUE_RANK
132,Queens,JFK Airport,Airports,137413,11128425.96,80.99,62.91,9.22,15.94,37.36,2024-01-01 00:00:05.000,2024-01-31 23:59:54.000,3,1
138,Queens,LaGuardia Airport,Airports,87521,5808543.74,66.37,42.32,8.8,9.72,27.20,2024-01-01 00:01:07.000,2024-01-31 23:59:23.000,9,2
161,Manhattan,Midtown Center,Yellow Zone,139938,3348676.76,23.93,15.48,3.13,2.33,13.92,2024-01-01 00:00:02.000,2024-01-31 23:58:33.000,2,3
237,Manhattan,Upper East Side South,Yellow Zone,139969,2767427.91,19.77,12.36,2.62,1.71,11.03,2024-01-01 00:00:47.000,2024-01-31 23:53:09.000,1,4
230,Manhattan,Times Sq/Theatre District,Yellow Zone,102750,2755748.61,26.82,17.85,3.35,2.97,15.11,2024-01-01 01:58:58.000,2024-01-31 23:59:07.000,6,5
236,Manhattan,Upper East Side North,Yellow Zone,133773,2708709.6,20.25,12.85,2.68,1.87,11.24,2024-01-01 00:04:37.000,2024-01-31 23:58:56.000,4,6
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,102018,2457717.59,24.09,16.07,3.13,2.3,15.19,2024-01-01 00:03:59.000,2024-01-31 23:57:06.000,7,7
162,Manhattan,Midtown East,Yellow Zone,104213,2429382.85,23.31,15.05,3.06,2.26,13.39,2024-01-01 00:00:21.000,2024-01-31 23:59:43.000,5,8
142,Manhattan,Lincoln Square East,Yellow Zone,101613,2166479.53,21.32,13.61,2.83,2.12,11.79,2024-01-01 00:02:16.000,2024-01-31 23:57:27.000,8,9
163,Manhattan,Midtown North,Yellow Zone,83562,1967235.66,23.54,15.27,3.06,2.36,13.38,2024-01-01 00:01:09.000,2024-01-31 23:59:50.000,11,10
68,Manhattan,East Chelsea,Yellow Zone,75404,1862814.22,24.7,16.44,3.22,2.48,15.13,2024-01-01 00:01:06.000,2024-01-31 23:59:55.000,13,11
170,Manhattan,Murray Hill,Yellow Zone,80834,1859458.19,23,14.94,2.96,2.23,13.18,2024-01-01 00:01:22.000,2024-01-31 23:58:56.000,12,12
239,Manhattan,Upper West Side South,Yellow Zone,86353,1830948.67,21.2,13.59,2.83,2.12,11.58,2024-01-01 00:01:58.000,2024-01-31 23:59:02.000,10,13
48,Manhattan,Clinton East,Yellow Zone,73909,1693334.93,22.91,15.04,2.83,2.42,12.61,2024-01-01 00:01:25.000,2024-01-31 23:59:19.000,15,14
234,Manhattan,Union Sq,Yellow Zone,74243,1615645.68,21.76,13.87,2.89,2.01,12.65,2024-01-01 00:00:11.000,2024-01-31 23:59:05.000,14,15
164,Manhattan,Midtown South,Yellow Zone,62961,1476773.93,23.46,15.23,2.96,2.34,13.24,2024-01-01 00:00:42.000,2024-01-31 23:58:19.000,20,16
141,Manhattan,Lenox Hill West,Yellow Zone,72055,1461292.8,20.28,12.93,2.59,1.92,11.23,2024-01-01 00:03:12.000,2024-01-31 23:59:44.000,16,17
249,Manhattan,West Village,Yellow Zone,64165,1442743.17,22.48,14.61,2.99,2.23,13.07,2024-01-01 00:02:33.000,2024-01-31 23:59:44.000,17,18
140,Manhattan,Lenox Hill East,Yellow Zone,64117,1438883.89,22.44,14.84,2.8,2.31,13.06,2024-01-01 00:00:00.000,2024-01-31 23:56:20.000,18,19
79,Manhattan,East Village,Yellow Zone,63480,1411921.19,22.24,14.54,2.83,2.33,12.42,2024-01-01 00:01:40.000,2024-01-31 23:59:43.000,19,20
238,Manhattan,Upper West Side North,Yellow Zone,62441,1321550.62,21.16,13.85,2.75,2.19,11.67,2024-01-01 00:06:42.000,2024-01-31 23:59:30.000,21,21
107,Manhattan,Gramercy,Yellow Zone,57582,1242804.43,21.58,13.89,2.78,2.13,12.16,2024-01-01 00:02:27.000,2024-01-31 23:59:28.000,23,22
263,Manhattan,Yorkville West,Yellow Zone,58096,1183762.71,20.38,13,2.59,2.09,10.62,2024-01-01 00:00:36.000,2024-01-31 23:59:10.000,22,23
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,49031,1173231.23,23.93,15.82,3.09,2.36,14.40,2024-01-01 00:05:45.000,2024-01-31 23:53:20.000,25,24
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,53830,1142427.87,21.22,13.66,2.73,2.02,12.14,2024-01-01 00:00:11.000,2024-01-31 23:56:07.000,24,25
100,Manhattan,Garment District,Yellow Zone,46565,1109432.12,23.83,15.87,2.79,2.4,14.10,2024-01-01 00:09:05.000,2024-01-31 23:57:58.000,27,26
43,Manhattan,Central Park,Yellow Zone,47246,1041328.66,22.04,14.43,2.89,2.16,12.90,2024-01-01 00:04:11.000,2024-01-31 23:31:27.000,26,27
90,Manhattan,Flatiron,Yellow Zone,45208,995651.96,22.02,14.17,2.87,2.13,12.57,2024-01-01 00:02:35.000,2024-01-31 23:58:05.000,28,28
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,35805,933119.03,26.06,17.74,3.32,3.04,15.11,2024-01-01 00:04:01.000,2024-01-31 23:59:37.000,32,29
262,Manhattan,Yorkville East,Yellow Zone,41289,892833.09,21.62,14.15,2.73,2.31,11.41,2024-01-01 00:05:38.000,2024-01-31 23:50:01.000,29,30
114,Manhattan,Greenwich Village South,Yellow Zone,39069,881153.95,22.55,14.7,2.95,2.28,13.06,2024-01-01 00:01:06.000,2024-01-31 23:59:29.000,31,31
113,Manhattan,Greenwich Village North,Yellow Zone,39320,861495.85,21.91,14.17,2.91,2.06,12.98,2024-01-01 00:00:11.000,2024-01-31 23:59:43.000,30,32
233,Manhattan,UN/Turtle Bay South,Yellow Zone,32545,785520.53,24.14,15.85,3.01,2.54,13.40,2024-01-01 00:06:52.000,2024-01-31 23:51:02.000,34,33
70,Queens,East Elmhurst,Boro Zone,11787,761265.06,64.59,41.66,8.51,9.56,26.99,2024-01-01 00:02:34.000,2024-01-31 23:58:54.000,47,34
143,Manhattan,Lincoln Square West,Yellow Zone,34391,718905.05,20.9,13.57,2.63,2.1,11.63,2024-01-01 00:01:57.000,2024-01-31 23:49:09.000,33,35
137,Manhattan,Kips Bay,Yellow Zone,31750,687233.91,21.65,14.23,2.49,2.28,12.48,2024-01-01 00:02:21.000,2024-01-31 23:56:59.000,35,36
148,Manhattan,Lower East Side,Yellow Zone,26645,660254.15,24.78,16.84,3,2.85,13.87,2024-01-01 00:02:31.000,2024-01-31 23:55:45.000,36,37
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,24628,582809.6,23.66,15.86,2.91,2.48,14.25,2024-01-01 00:03:26.000,2024-01-31 23:59:36.000,37,38
