PICKUP_LOCATION_ID,PICKUP_BOROUGH,PICKUP_ZONE,DROPOFF_LOCATION_ID,DROPOFF_BOROUGH,DROPOFF_ZONE,TRIPS_COUNT,TOTAL_REVENUE,AVG_TOTAL_AMOUNT,AVG_TRIP_DISTANCE,AVG_TRIP_DURATION_MINUTES,REVENUE_RANK,DEMAND_RANK
132,Queens,JFK Airport,265,N/A,Outside of NYC,5813,710347.7,122.2,20.37,37.30,1,32
132,Queens,JFK Airport,230,Manhattan,Times Sq/Theatre District,5749,541244,94.15,18.05,50.41,2,35
138,Queens,LaGuardia Airport,230,Manhattan,Times Sq/Theatre District,5395,409547.24,75.91,10.36,34.51,3,44
237,Manhattan,Upper East Side South,236,Manhattan,Upper East Side North,21628,340309.29,15.73,1.06,7.39,4,1
236,Manhattan,Upper East Side North,237,Manhattan,Upper East Side South,19183,308410.61,16.08,1.05,8.03,5,2
132,Queens,JFK Airport,48,Manhattan,Clinton East,3180,297151.41,93.44,18.31,50.64,6,157
132,Queens,JFK Airport,164,Manhattan,Midtown South,3001,287056.01,95.65,17.28,41.84,7,179
230,Manhattan,Times Sq/Theatre District,138,Queens,LaGuardia Airport,3671,272663.89,74.28,11.22,32.54,8,110
230,Manhattan,Times Sq/Theatre District,132,Queens,JFK Airport,2741,252407.6,92.09,17.58,51.86,9,217
138,Queens,LaGuardia Airport,161,Manhattan,Midtown Center,3255,239730.37,73.65,10.05,32.19,10,149
132,Queens,JFK Airport,161,Manhattan,Midtown Center,2428,232634.64,95.81,17.73,46.21,11,256
132,Queens,JFK Airport,170,Manhattan,Murray Hill,2367,225363.53,95.21,16.95,37.99,12,268
132,Queens,JFK Airport,163,Manhattan,Midtown North,2388,224869.62,94.17,18.36,50.29,13,264
132,Queens,JFK Airport,68,Manhattan,East Chelsea,2277,217856.86,95.68,18.11,47.00,14,283
138,Queens,LaGuardia Airport,265,N/A,Outside of NYC,1406,200265.11,142.44,22.69,41.26,15,576
236,Manhattan,Upper East Side North,236,Manhattan,Upper East Side North,15081,197547.48,13.1,0.65,4.83,16,3
132,Queens,JFK Airport,162,Manhattan,Midtown East,2051,195336.92,95.24,17.31,41.19,17,323
161,Manhattan,Midtown Center,138,Queens,LaGuardia Airport,2675,193078.46,72.18,10.67,30.47,18,224
237,Manhattan,Upper East Side South,237,Manhattan,Upper East Side South,14037,192610.89,13.72,0.65,5.75,19,4
161,Manhattan,Midtown Center,236,Manhattan,Upper East Side North,8660,189522.68,21.88,1.95,13.22,20,8
138,Queens,LaGuardia Airport,162,Manhattan,Midtown East,2566,177325.31,69.11,9.56,27.10,21,241
132,Queens,JFK Airport,236,Manhattan,Upper East Side North,1838,176919.55,96.26,19.3,40.41,22,385
132,Queens,JFK Airport,239,Manhattan,Upper West Side South,1825,176635.55,96.79,20.85,47.78,23,387
161,Manhattan,Midtown Center,237,Manhattan,Upper East Side South,10136,172925.22,17.06,1.08,9.17,24,5
138,Queens,LaGuardia Airport,163,Manhattan,Midtown North,2251,170263.44,75.64,10.41,34.66,25,287
264,Unknown,N/A,264,Unknown,N/A,6599,169349.45,25.66,3.08,14.35,26,19
138,Queens,LaGuardia Airport,164,Manhattan,Midtown South,2394,165808.69,69.26,9.43,27.53,27,263
132,Queens,JFK Airport,79,Manhattan,East Village,1687,157726.06,93.49,18.24,41.65,28,438
161,Manhattan,Midtown Center,132,Queens,JFK Airport,1687,156681.75,92.88,17.26,50.55,29,438
132,Queens,JFK Airport,142,Manhattan,Lincoln Square East,1614,152273.56,94.35,19.79,49.65,30,470
132,Queens,JFK Airport,238,Manhattan,Upper West Side North,1582,151774.3,95.94,20.25,44.83,31,484
236,Manhattan,Upper East Side North,161,Manhattan,Midtown Center,7044,150861.21,21.42,1.93,13.69,32,13
138,Queens,LaGuardia Airport,48,Manhattan,Clinton East,1929,146493.71,75.94,10.57,34.39,33,360
132,Queens,JFK Airport,90,Manhattan,Flatiron,1508,145318.55,96.37,18.18,44.59,34,523
132,Queens,JFK Airport,100,Manhattan,Garment District,1526,143825.32,94.25,17.58,46.32,35,510
237,Manhattan,Upper East Side South,161,Manhattan,Midtown Center,8715,143607.76,16.48,1.06,8.96,36,7
132,Queens,JFK Airport,141,Manhattan,Lenox Hill West,1522,142850.43,93.86,18.71,41.71,37,513
132,Queens,JFK Airport,107,Manhattan,Gramercy,1469,140739.59,95.81,17.59,38.60,38,544
132,Queens,JFK Airport,181,Brooklyn,Park Slope,1484,139565.33,94.05,19.12,45.76,39,533
138,Queens,LaGuardia Airport,170,Manhattan,Murray Hill,2055,135713.85,66.04,8.98,24.22,40,322
132,Queens,JFK Airport,263,Manhattan,Yorkville West,1408,135075.61,95.93,19.01,38.45,41,573
132,Queens,JFK Airport,186,Manhattan,Penn Station/Madison Sq West,1420,135061.92,95.11,17.82,46.17,42,565
132,Queens,JFK Airport,229,Manhattan,Sutton Place/Turtle Bay North,1417,133143.22,93.96,17.6,39.62,43,569
138,Queens,LaGuardia Airport,236,Manhattan,Upper East Side North,2097,132222.34,63.05,8.51,22.04,44,315
142,Manhattan,Lincoln Square East,239,Manhattan,Upper West Side South,8819,132085.03,14.98,0.99,6.18,45,6
132,Queens,JFK Airport,138,Queens,LaGuardia Airport,2182,131938.29,60.47,11.59,23.95,46,295
186,Manhattan,Penn Station/Madison Sq West,230,Manhattan,Times Sq/Theatre District,6945,130755.59,18.83,1.06,12.36,47,15
132,Queens,JFK Airport,233,Manhattan,UN/Turtle Bay South,1362,130283.5,95.66,17.03,37.42,48,601
